contig	logFC.constDiff	AveExpr.constDiff	adj.P.Val.constDiff	logFC.woundResp_Q903	AveExpr.woundResp_Q903	adj.P.Val.woundResp_Q903	logFC.woundResp_H898	AveExpr.woundResp_H898	adj.P.Val.woundResp_H898	logFC.weevilInd_Q903	AveExpr.weevilInd_Q903	adj.P.Val.weevilInd_Q903	logFC.weevilInd_H898	AveExpr.weevilInd_H898	adj.P.Val.weevilInd_H898	logFC.weevilCtrl_Q903	AveExpr.weevilCtrl_Q903	adj.P.Val.weevilCtrl_Q903	logFC.weevilCtrl_H898	AveExpr.weevilCtrl_H898	adj.P.Val.weevilCtrl_H898	annot
WPW_Inoculation_Trinity_C500_comp130166_c0_seq1	-2.41471755153433	-1.15001047941139	0.000554587761403668	-0.109244565170554	-1.15001047941139	0.998339447065197	0.0834844288133568	-1.15001047941139	0.999990132972448	-2.6827067919205	-1.15001047941139	0.000291661936567553	-0.273952210074432	-1.15001047941139	0.998404861315239	-2.79195135709105	-1.15001047941139	0.000652814866940193	-0.190467781261076	-1.15001047941139	0.989183657643942	NA
WPW_Inoculation_Trinity_C500_comp145171_c0_seq1	2.67529133844854	-1.10446211334805	0.00215200931712471	-0.078560427882847	-1.10446211334805	0.998339447065197	0.465304460131178	-1.10446211334805	0.999990132972448	2.65674938735139	-1.10446211334805	0.00778323744720035	0.00446103255175867	-1.10446211334805	0.999962670056984	2.57818895946855	-1.10446211334805	0.00553500231014727	0.469765492682937	-1.10446211334805	0.91671375297266	NA
WPW_Inoculation_Trinity_C500_comp18155_c0_seq1	-4.37514177676563	0.182369847496077	0.00600628004609545	-0.552370456571688	0.182369847496077	0.952661735968402	-0.289505448434156	0.182369847496077	0.999990132972448	3.27149851860919	0.182369847496077	0.000130464645558241	0.284543551586169	0.182369847496077	0.998404861315239	2.7191280620375	0.182369847496077	0.000207018918236289	-0.00496189684798676	0.182369847496077	0.999502348959709	NA
WPW_Inoculation_Trinity_C500_comp184339_c0_seq1	-7.45295450598897	-3.25684400842437	7.28560630047919e-07	-0.0712745541919931	-3.25684400842437	0.998339447065197	-1.67417808056824	-3.25684400842437	0.999990132972448	-5.06350186101927	-3.25684400842437	2.24462491075757e-05	0.267246872850828	-3.25684400842437	0.998404861315239	-5.13477641521126	-3.25684400842437	7.65895962920681e-05	-1.40693120771742	-3.25684400842437	0.813470133110179	NA
WPW_Inoculation_Trinity_C500_comp184639_c0_seq1	-7.89525102640959	-2.39169488229513	2.63838043617224e-06	-0.0886111519623357	-2.39169488229513	0.998339447065197	0.535811136083275	-2.39169488229513	0.999990132972448	-3.80383113818067	-2.39169488229513	0.000252759196851893	-2.02553724830177	-2.39169488229513	0.871931082478087	-3.89244229014301	-2.39169488229513	0.000688371032149329	-1.48972611221849	-2.39169488229513	0.835608521676881	PREDICTED: tubulin beta-1 chain-like, partial [Brassica rapa] ; beta-tubulin 2 [Gossypium hirsutum] ; beta-tubulin 2, partial [Eremosparton songoricum] ; tubulin 8, partial [Codiaeum variegatum] ; unknown [Lotus japonicus] ; putative beta-tubulin, partial [Pyrus pyrifolia var. culta] ; unknown [Populus trichocarpa] ; tubulin beta-2/beta-3 chain [Arabidopsis thaliana] ; hypothetical protein, partial [Pinus contorta var. bolanderi] hypothetical protein, partial [Pinus contorta subsp. contorta] ; hypothetical protein PRUPE_ppa005693mg [Prunus persica] PREDICTED: tubulin beta chain-like [Prunus mume] hypothetical protein PRUPE_ppa005693mg [Prunus persica]
WPW_Inoculation_Trinity_C500_comp190175_c0_seq2	-7.84362723143605	-3.98015064391717	1.43455207764212e-07	-0.306501274179428	-3.98015064391717	0.989485756010645	0.0179256692612172	-3.98015064391717	0.999990132972448	-3.3666316937479	-3.98015064391717	0.000318991047893523	0.267246872850829	-3.98015064391717	0.998404861315239	-3.67313296792733	-3.98015064391717	0.000490846653095025	0.285172542112046	-3.98015064391717	0.989663119874697	NA
WPW_Inoculation_Trinity_C500_comp196946_c0_seq1	3.16800420968432	-0.401328132448253	0.000400849736016538	-0.535294971917105	-0.401328132448253	0.998339447065197	0.193239120234972	-0.401328132448253	0.999990132972448	-4.07489131580138	-0.401328132448253	0.00536131215190367	-0.830886956943761	-0.401328132448253	0.974859410008908	-4.61018628771848	-0.401328132448253	0.00466507611055097	-0.63764783670879	-0.401328132448253	0.941688349731562	NA
WPW_Inoculation_Trinity_C500_comp202370_c0_seq1	-7.14978591409773	-4.5972162083592	2.95594437439902e-08	-0.132489231713142	-4.5972162083592	0.998339447065197	0.0179256692612224	-4.5972162083592	0.999990132972448	-5.36332900917607	-4.5972162083592	3.5286219600102e-06	0.26724687285083	-4.5972162083592	0.998404861315239	-5.49581824088921	-4.5972162083592	1.00567317890687e-05	0.285172542112052	-4.5972162083592	0.988106800392727	PREDICTED: uncharacterized protein LOC103704902 isoform X2 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103704902 isoform X2 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103704902 isoform X4 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103704902 isoform X4 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103704902 isoform X3 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103704902 isoform X3 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103704902 isoform X1 [Phoenix dactylifera] PREDICTED: uncharacterized protein LOC103704902 isoform X1 [Phoenix dactylifera] PREDICTED: uncharacterized protein LOC103704902 isoform X1 [Phoenix dactylifera] PREDICTED: uncharacterized protein LOC103704902 isoform X1 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103704902 isoform X1 [Phoenix dactylifera] PREDICTED: uncharacterized protein LOC103704902 isoform X1 [Phoenix dactylifera] PREDICTED: uncharacterized protein LOC103704902 isoform X1 [Phoenix dactylifera] PREDICTED: uncharacterized protein LOC103704902 isoform X1 [Phoenix dactylifera] ; hypothetical protein VITISV_017916 [Vitis vinifera] ; hypothetical protein VITISV_017916 [Vitis vinifera] ; unnamed protein product [Vitis vinifera] ; unnamed protein product [Vitis vinifera] ; PREDICTED: uncharacterized protein LOC100257610 [Vitis vinifera] ; PREDICTED: uncharacterized protein LOC100257610 [Vitis vinifera] ; PREDICTED: uncharacterized protein LOC103703282 isoform X5 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103703282 isoform X5 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103703282 isoform X4 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103703282 isoform X4 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103703282 isoform X2 [Phoenix dactylifera] ; PREDICTED: uncharacterized protein LOC103703282 isoform X2 [Phoenix dactylifera]
WPW_Inoculation_Trinity_C500_comp211651_c0_seq1	-6.43409062877901	-3.697825117057	4.96405316090877e-06	-0.108808215901203	-3.697825117057	0.998339447065197	0.334266157882444	-3.697825117057	0.999990132972448	-4.16263296275749	-3.697825117057	0.000191553321213568	0.974021764076836	-3.697825117057	0.977612353078079	-4.27144117865869	-3.697825117057	0.000498420685410593	1.30828792195928	-3.697825117057	0.809568579852501	NA
WPW_Inoculation_Trinity_C500_comp231339_c0_seq1	-8.2672540568238	-3.76695185748611	8.65838366645613e-06	0.169790746076853	-3.76695185748611	0.998339447065197	0.0179256692612216	-3.76695185748611	0.999990132972448	-4.17531436134335	-3.76695185748611	0.000938285558607672	0.267246872850829	-3.76695185748611	0.998404861315239	-4.0055236152665	-3.76695185748611	0.00372328503336571	0.285172542112051	-3.76695185748611	0.989663119874697	unknown [Picea sitchensis] ; unknown [Picea sitchensis] ; unknown [Picea sitchensis] ; NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao] NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao] NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao] NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao] ; hypothetical protein EUGRSUZ_L00913 [Eucalyptus grandis] ; NB-ARC domain-containing disease resistance protein, putative [Theobroma cacao] NB-ARC domain-containing disease resistance protein, putative [Theobroma cacao] ; NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao] NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao] NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao] NB-ARC domain-containing disease resistance protein, putative isoform 1 [Theobroma cacao] ; hypothetical protein EUGRSUZ_G00112 [Eucalyptus grandis] ; hypothetical protein AMTR_s00078p00177570 [Amborella trichopoda] hypothetical protein AMTR_s00078p00177570 [Amborella trichopoda] ; hypothetical protein AMTR_s00071p00163290 [Amborella trichopoda] hypothetical protein AMTR_s00071p00163290 [Amborella trichopoda]
WPW_Inoculation_Trinity_C500_comp232651_c0_seq1	-8.14059986544837	-4.10467474224392	1.37545261663968e-08	-0.743404825697019	-4.10467474224392	0.687315082369335	0.0179256692612172	-4.10467474224392	0.999990132972448	-4.1492686579205	-4.10467474224392	2.69884558894172e-05	0.267246872850828	-4.10467474224392	0.998404861315239	-4.89267348361752	-4.10467474224392	2.29076062941691e-05	0.285172542112046	-4.10467474224392	0.989036291101786	unknown [Picea sitchensis] ; unknown [Picea sitchensis]
WPW_Inoculation_Trinity_C500_comp232651_c1_seq1	-8.42982606099305	-3.87833863871054	2.39727703616518e-08	-0.835979409294367	-3.87833863871054	0.653131867073273	0.0179256692612197	-3.87833863871054	0.999990132972448	-3.47714732488757	-3.87833863871054	0.000146339597367978	0.267246872850827	-3.87833863871054	0.998404861315239	-4.31312673418194	-3.87833863871054	7.69060405113989e-05	0.285172542112047	-3.87833863871054	0.989663119874697	unknown [Picea sitchensis] ; unknown [Picea sitchensis] ; unknown [Picea sitchensis] ; unknown [Picea sitchensis] ; unknown [Picea sitchensis] ; unknown [Picea sitchensis] ; unknown [Picea sitchensis]
WPW_Inoculation_Trinity_C500_comp279595_c0_seq1	-5.03971843661583	-0.923033312448897	1.9394711269843e-05	0.971624369562122	-0.923033312448897	0.487421799057175	-0.188954967171455	-0.923033312448897	0.999990132972448	-3.8033560086926	-0.923033312448897	3.75848755745897e-05	-1.03281527881258	-0.923033312448897	0.963188719355317	-2.83173163913048	-0.923033312448897	0.00161064901050613	-1.22177024598404	-0.923033312448897	0.81770181925677	NA
